    LRGN[fwing],,,,,,,,,,
            START,          END,         AREA,DRAG(PRESSURE),LIFT(PRESSURE),DRAG(SURF-STRESS),LIFT(SURF-STRESS),         DRAG,         LIFT,           CD,           CL
-3,3,1.59004,6.25359,44.8401,0.464443,-0.0432368,6.71804,44.7969,0.0758797,0.505977
3,3,0,0,0,0,0,0,0,0,0
,,,,,,,,,,
    LRGN[rwing],,,,,,,,,,
            START,          END,         AREA,DRAG(PRESSURE),LIFT(PRESSURE),DRAG(SURF-STRESS),LIFT(SURF-STRESS),         DRAG,         LIFT,           CD,           CL
-3,3,2.49002,37.3238,112.154,0.784765,-0.180473,38.1085,111.974,0.430433,1.26473
3,3,0,0,0,0,0,0,0,0,0
,,,,,,,,,,
    LRGN[body],,,,,,,,,,
            START,          END,         AREA,DRAG(PRESSURE),LIFT(PRESSURE),DRAG(SURF-STRESS),LIFT(SURF-STRESS),         DRAG,         LIFT,           CD,           CL
-3,3,15.4858,54.0934,47.3419,1.9008,-0.0762944,55.9942,47.2656,0.63245,0.533862
3,3,0,0,0,0,0,0,0,0,0
,,,,,,,,,,
,,,,,,,,204.0365,,
